Rhizobium,Nitrogen,Biomass
Control,N0,3.45
StrainA,N0,8.97
StrainB,N0,7.42
StrainC,N0,6.06
Control,N6,5.7
StrainA,N6,7.41
StrainB,N6,6.58
StrainC,N6,5.5
Control,N0,4.72
StrainA,N0,5.88
StrainB,N0,7.29
StrainC,N0,5.66
Control,N6,7.09
StrainA,N6,6.57
StrainB,N6,6.56
StrainC,N6,6.35
Control,N0,2.73
StrainA,N0,5.75
StrainB,N0,5.34
StrainC,N0,5.29
Control,N6,5.84
StrainA,N6,6.58
StrainB,N6,8.5
StrainC,N6,5.84
Control,N0,3.43
StrainA,N0,6.55
StrainB,N0,6.41
StrainC,N0,5.63
Control,N6,5.1
StrainA,N6,5.87
StrainB,N6,6.73
StrainC,N6,6.35
